"scenario","target","AgeGroup","tot_vacc","pre_vacc","pre_vacc_lo","pre_vacc_hi","post_vacc","post_vacc_lo","post_vacc_hi","pre_fatal","pre_fatal_lo","pre_fatal_hi","post_fatal","post_fatal_lo","post_fatal_hi","pre_daly","pre_daly_lo","pre_daly_hi","post_daly","post_daly_lo","post_daly_hi","diff","diff_low","diff_hi","diff_fatal","diff_fatal_low","diff_fatal_hi","diff_daly","diff_daly_low","diff_daly_hi","region","rho_p50","rho_p2.5","rho_p97.5","scenario_vacc","nnv","nnv_lo","nnv_hi","nnv_fatal","nnv_fatal_lo","nnv_fatal_hi","nnv_daly","nnv_daly_lo","nnv_daly_hi","tot_pop","tot_vacc_prop","age_gr","VE","VC","setting"
"Scenario_2","<1 (novacc)",1,0,1215.28147428168,1029.26907001992,1464.5333103892,1151.07458948224,973.662141589519,1389.08902998079,1.83304832515422,1.54326253595952,2.21822019327938,1.73620300566594,1.4598088895001,2.10400506591553,200.097720612665,167.122517952007,243.485380332009,189.52597113084,158.073774407062,230.956367013938,64.2068847994413,55.6069284303978,75.4442804084002,0.0968453194882706,0.0834536464594183,0.114215127363851,10.5717494818244,9.04874354494502,12.5290133180711,"Minas Gerais",0.0844299564638333,0.061776832382927,0.115368713323958,156957.1,2444.5524882616,2080.43736583276,2822.61769226222,1620698.8714515,1374223.39424433,1880769.82443571,14846.8425467185,12527.4908738116,17345.734158604,223402,0,"<1","VE97.8","cov10","Low"
"Scenario_2","1-11 years",2,0,5032.65153066334,4282.54965655053,5960.78292742848,4762.32770542887,4048.41580062963,5643.07369029556,7.59091095733188,6.42396935631398,9.02638024122155,7.18317279495414,6.07258750816067,8.54539931673562,828.632807489143,696.074383918804,990.504030142138,784.123628009809,657.974774568959,937.741935933819,270.323825234469,234.133855920898,317.709237132914,0.407738162377741,0.351381848153316,0.480980924485934,44.5091794793345,38.0996093498454,52.7620942083188,"Minas Gerais",0.0844299564638333,0.061776832382927,0.115368713323958,156957.1,580.626216959831,494.027499535171,670.373361352012,384945.816905385,326327.078704324,446685.282193393,3526.39841569928,2974.80800099199,4119.65116384158,963622,0,"1-4","VE97.8","cov10","Low"
"Scenario_2","1-11 years",3,0,6214.00913657779,5290.2088048119,7353.05882143171,5879.90813313138,5000.82695152536,6960.364074493,9.37279081541961,7.93570947328857,11.1345397136012,8.86885547388749,7.50141325177349,10.5400377545065,1023.14491778988,859.912014749893,1221.81891478855,968.134740593236,812.822221755658,1156.6038830351,334.101003446415,289.381853286542,392.69474693871,0.50393534153212,0.434296221515075,0.59450195909472,55.0101771966422,47.0897929942349,65.2150317534472,"Minas Gerais",0.0844299564638333,0.061776832382927,0.115368713323958,156957.1,469.789370223108,399.692385048627,542.387500174669,311462.775210013,264014.43695662,361405.631051643,2853.23749165419,2406.7626094762,3333.14482863019,1257588,0,"5–9","VE97.8","cov10","Low"
"Scenario_2","1-11 years",4,0,2430.67649495655,2047.24771848459,2917.57661022375,2302.55799759611,1936.26775167883,2766.92206635762,3.66626791600307,3.06949959073278,4.41910540573766,3.47302264568687,2.90294507905603,4.19102812902717,365.765948498295,303.546165866891,443.556002391777,346.486795635109,287.052131639679,420.679517689646,128.118497360445,110.979966805763,150.654543866135,0.193245270316205,0.166554511676756,0.228077276710489,19.2791528631856,16.4940342272114,22.8764847021308,"Minas Gerais",0.0844299564638333,0.061776832382927,0.115368713323958,156957.1,1225.09320069857,1041.83449083,1414.28317666292,812217.032495404,688175.08812697,942376.753531705,8141.28614020776,6861.06725065938,9515.99213617834,503217,0,"10-11","VE97.8","cov10","Low"
"Scenario_2","12-17 years",5,156957.1,7074.84238438691,6025.06814834791,8354.15384335128,5702.82546561362,4848.88767239626,6741.83727563152,4.09169986347091,3.47780880800947,4.8383426288189,3.29820071052675,2.79883641846605,3.90460163861852,659.31081718984,557.560343428031,782.452067706816,531.451347428225,448.685292911705,631.464613207948,1372.01691877329,1176.18047595165,1612.31656771976,0.793499152944161,0.678972389543419,0.933740990200383,127.859469761614,108.875050516326,150.987454498867,"Minas Gerais",0.0844299564638333,0.061776832382927,0.115368713323958,156957.1,114.398807953719,97.3488104894803,133.446442284298,197803.739824591,168094.901741774,231168.604816975,1227.57508921816,1039.53736104066,1441.62596715823,1569571,0.1,NA,"VE97.8","cov10","Low"
"Scenario_2","18-59 years",6,0,2638.30249441784,2176.71415711335,3207.76767402553,2510.20186043773,2065.80134048702,3057.25270265303,1.52584911008444,1.25589952289265,1.85818873184402,1.45176274630569,1.19186857904209,1.77102421629849,245.865742172199,201.114107861919,300.670514798569,233.927930828395,190.844715810908,286.577220138423,128.10063398011,110.912816626332,150.514971372497,0.0740863637787424,0.0640309438505609,0.0871645155455292,11.9378113438045,10.2693920510119,14.093294660146,"Minas Gerais",0.0844299564638333,0.061776832382927,0.115368713323958,156957.1,1225.26403752514,1042.80058368121,1415.13942909585,2118569.35601199,1800699.50504131,2451269.50441829,13147.895831128,11137.0054898415,15283.9719450124,554110,0,"18–19","VE97.8","cov10","Low"
"Scenario_2","18-59 years",7,0,6308.76026077886,5361.56953739283,7472.91671983175,5970.51973075683,5068.62125233064,7075.37955457899,2.17869924781597,1.85025640745082,2.58207013514433,2.06188954862337,1.74915430267083,2.44471649441414,497.389366794535,420.540388709426,591.344154169998,470.722123770922,397.551600818166,559.894334994806,338.240530022023,292.948285062184,397.537165252761,0.116809699192608,0.101102104779988,0.137353640730196,26.6672430236129,22.9887878912606,31.4498191751917,"Minas Gerais",0.0844299564638333,0.061776832382927,0.115368713323958,156957.1,464.039894893082,394.823713904093,535.78432782661,1343699.2055017,1142722.53116545,1552461.25035241,5885.76403871296,4990.71549905162,6827.55005363586,1526557,0,"20–24","VE97.8","cov10","Low"
"Scenario_2","18-59 years",8,0,6024.89088063389,5108.11676727026,7148.26819528254,5704.58131099151,4830.69292167639,6771.7358186155,2.08066635713145,1.76277276652945,2.46990934454512,1.9700490266891,1.6670284846521,2.33981306969659,475.008803037745,400.631125427561,565.67529670958,449.755255995686,378.8606644833,535.887153767132,320.309569642379,277.423845593872,376.532376667038,0.110617330442345,0.0957442818773465,0.130096274848536,25.2535470420592,21.7704609442605,29.7881429424472,"Minas Gerais",0.0844299564638333,0.061776832382927,0.115368713323958,156957.1,490.016892643078,416.848881334831,565.766434619227,1418919.61569085,1206468.82612693,1639336.54232292,6215.24967318815,5269.113294617,7209.63604775578,1536109,0,"25–29","VE97.8","cov10","Low"
"Scenario_2","18-59 years",9,0,5788.46637214376,4885.10739466918,6887.94528567168,5485.96024822701,4623.15754033813,6532.46514519508,2.32061485365934,1.95499667693295,2.7648581458212,2.19933917209671,1.85014164968576,2.62218349509691,454.55563918528,381.522070670548,542.990078528028,430.8004930595,361.049542805679,514.977175555365,302.506123916755,261.94985433105,355.480140476601,0.121275681562636,0.104855027247189,0.142674650724284,23.7551461257806,20.4725278648689,28.0129029726631,"Minas Gerais",0.0844299564638333,0.061776832382927,0.115368713323958,156957.1,518.855942378186,441.535495596361,599.18758268,1294217.42246763,1100105.02358486,1496896.27784831,6607.28833950048,5603.02872405511,7666.71810320698,1540840,0,"30–34","VE97.8","cov10","Low"
"Scenario_2","18-59 years",10,0,5570.37445618879,4704.39428478855,6644.90506040856,5277.35602203155,4450.66681492332,6300.53074008634,2.23318110055615,1.88265583885434,2.66731490397242,2.1157090644442,1.78109221275404,2.52909759172459,437.429356697896,367.396251921974,523.839472101168,414.419258155667,347.566394204451,496.70170073392,293.018434157233,253.727469865235,344.374320322217,0.117472036111949,0.101563626100302,0.138217312247831,23.0100985422297,19.8298577175229,27.1377713672479,"Minas Gerais",0.0844299564638333,0.061776832382927,0.115368713323958,156957.1,535.656060177351,455.774692645903,618.605072928706,1336123.09103438,1135582.05876965,1545406.61875337,6821.22676319451,5783.71369837055,7915.19042828545,1585459,0,"35–39","VE97.8","cov10","Low"
